Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,ISSN,ISBN,CODEN,Document Type,Publication Stage,Access Type,Source,EID
"Kang K.H., Hyun H.J., Jeon H.B., Kah D.H., Kim B.B., Lee S.C., Park H.","35253852700;35233487300;57014196800;35233698200;57189002870;57208324210;56984665700;","Position and depth of interaction measurements using silicon photostrip detectors and CsI(Tl) crystal",2018,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","912",,,"238","240",,,"10.1016/j.nima.2017.11.065","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85036662542&doi=10.1016%2fj.nima.2017.11.065&partnerID=40&md5=1016bda639b012ff23ffab34056c6474",01689002,,NIMAE,Article,"Final",,Scopus,2-s2.0-85036662542
"Yeo H.","55324816500;","Curing kinetics of liquid crystalline 4,4′-Diglycidyloxybiphenyl epoxy cured with 4,4′-Diaminodiphenylsulfone",2018,"Polymer","159",,,"6","11",,1,"10.1016/j.polymer.2018.11.009","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85057177035&doi=10.1016%2fj.polymer.2018.11.009&partnerID=40&md5=be4e4d2ed4ecddbbfe50be49d968f61a",00323861,,POLMA,Article,"Final",,Scopus,2-s2.0-85057177035
"Ahn C.","7201986707;","Higher spin currents with manifest S O (4) symmetry in the large = 4 holography",2018,"International Journal of Modern Physics A","33","35", 1850208,"","",,1,"10.1142/S0217751X18502081","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059192783&doi=10.1142%2fS0217751X18502081&partnerID=40&md5=3a2b458748c3a464b0488d71c38528db",0217751X,,IMPAE,Article,"Final",,Scopus,2-s2.0-85059192783
"Kim W.H., Kim H.J.","36081886500;57203506201;","ASO Author Reflections: Ultrasound-Guided Restaging and Localization of Axillary Lymph Nodes After Neoadjuvant Chemotherapy",2018,"Annals of Surgical Oncology","25",,,"644","645",,,"10.1245/s10434-018-6854-2","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85055558026&doi=10.1245%2fs10434-018-6854-2&partnerID=40&md5=cc74316a18b35e3aa3e5f8abacb7d2c5",10689265,,ASONF,Note,"Final",,Scopus,2-s2.0-85055558026
"Lee S.Y., Park J.Y.","49863712700;56182376000;","GLUT1 Variants for Predicting Prognosis After Surgery in Non-small Cell Lung Cancer",2018,"Annals of Surgical Oncology","25",,,"948","949",,,"10.1245/s10434-018-6847-1","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85054484994&doi=10.1245%2fs10434-018-6847-1&partnerID=40&md5=0457b708c911322125e32868ee25fdf9",10689265,,ASONF,Note,"Final",,Scopus,2-s2.0-85054484994
"Lubis M.A.R., Park B.-D.","57192278476;7402834820;","Modification of urea-formaldehyde resin adhesives with oxidized starch using blocked pMDI for plywood",2018,"Journal of Adhesion Science and Technology","32","24",,"2667","2681",,1,"10.1080/01694243.2018.1511075","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85055725656&doi=10.1080%2f01694243.2018.1511075&partnerID=40&md5=eb5085ed33f8e898de5c77b90d79c558",01694243,,JATEE,Article,"Final",,Scopus,2-s2.0-85055725656
"Ghimire S., Dho J.","57203357807;6602898623;","Anisotropic lattice disorder and enhanced magnetic anisotropy in Fe3O4 films on (1 1 0) SrTiO3",2018,"Journal of Magnetism and Magnetic Materials","468",,,"209","214",,,"10.1016/j.jmmm.2018.05.078","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85051362476&doi=10.1016%2fj.jmmm.2018.05.078&partnerID=40&md5=12583e78bc2c67fabfba267f523b8cae",03048853,,JMMMD,Article,"Final",,Scopus,2-s2.0-85051362476
"Jeong H.-D., Lee S.-Y.","57193707766;55881869300;","Tunable plasmonic absorber using a nanoslit array patterned on a Ge2Sb2Te5-Inserted Fabry-Pérot Resonator",2018,"Journal of Lightwave Technology","36","24", 8516278,"5857","5862",,1,"10.1109/JLT.2018.2878861","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85055862660&doi=10.1109%2fJLT.2018.2878861&partnerID=40&md5=e3352f0a0df749e3e99994c013bce21c",07338724,,JLTED,Article,"Final",,Scopus,2-s2.0-85055862660
"Saeed M., Kim M.-H.","57190028736;55686310000;","Analysis of a recompression supercritical carbon dioxide power cycle with an integrated turbine design/optimization algorithm",2018,"Energy","165",,,"93","111",,5,"10.1016/j.energy.2018.09.058","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85053772276&doi=10.1016%2fj.energy.2018.09.058&partnerID=40&md5=63afa659d88e4b9d1bf08620bf8bd4e1",03605442,,ENEYD,Article,"Final",,Scopus,2-s2.0-85053772276
"Byeon K.-H., Ha Y.-S., Choi S.-H., Kim B.S., Kim H.T., Yoo E.S., Kwon T.G., Lee J.N., Kim T.-H.","57204423048;35487226400;9742645500;57202817150;55739531300;7006609239;15073765400;16301364600;57203495163;","Predictive factors for adrenal metastasis in extra-adrenal malignancy patients with solitary adrenal mass",2018,"Journal of Surgical Oncology","118","8",,"1271","1276",,1,"10.1002/jso.25272","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85055550520&doi=10.1002%2fjso.25272&partnerID=40&md5=33811bd51c1e5f2c286ad298695ebbf9",00224790,,JSONA,Article,"Final",,Scopus,2-s2.0-85055550520
"Goud K.Y., Kalisa S.K., Kumar V., Tsang Y.F., Lee S.E., Gobi K.V., Kim K.-H.","56626015400;57203854703;56420931100;22954605700;57203853009;55434605500;56962774000;","Progress on nanostructured electrochemical sensors and their recognition elements for detection of mycotoxins: A review",2018,"Biosensors and Bioelectronics","121",,,"205","222",,15,"10.1016/j.bios.2018.08.029","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85053190636&doi=10.1016%2fj.bios.2018.08.029&partnerID=40&md5=a3a7de245c9c28da77817a9a8e2a37a7",09565663,,BBIOE,Review,"Final",,Scopus,2-s2.0-85053190636
"Si Y., Park J.W., Jung S., Hwang G.-S., Goh E., Lee H.J.","57203850418;57203855708;56975704200;7202676099;57194014885;56569175200;","Layer-by-layer electrochemical biosensors configuring xanthine oxidase and carbon nanotubes/graphene complexes for hypoxanthine and uric acid in human serum solutions",2018,"Biosensors and Bioelectronics","121",,,"265","271",,10,"10.1016/j.bios.2018.08.074","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85053214402&doi=10.1016%2fj.bios.2018.08.074&partnerID=40&md5=bc12219bf7e5691bf462d9ba377cc894",09565663,,BBIOE,Article,"Final",,Scopus,2-s2.0-85053214402
"Choi B.-S., Kim S.-H., Lee J., Chang S., Park J., Lee S.-J., Shin J.-K.","56367077000;57190684837;57193811541;12759772300;57196405801;56239901600;7402723873;","Extraction of disparity information using pixels with integrated apertures",2018,"IST 2018 - IEEE International Conference on Imaging Systems and Techniques, Proceedings",,, 8577201,"","",,1,"10.1109/IST.2018.8577201","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060685797&doi=10.1109%2fIST.2018.8577201&partnerID=40&md5=4d5b00f4608d28cb6723f8b24c4ef82f",,9781538666289,,Conference Paper,"Final",,Scopus,2-s2.0-85060685797
"Hwang C.-Y., Kim G.H., Yang J.-H., Hwang C.-S., Cho S.M., Lee W.-J., Pi J.-E., Choi J.H., Choi K., Kim H.-O., Lee S.-Y., Kim Y.-H.","55814199600;57203438320;9732822100;7403387893;57193068043;57198750607;55279262700;56126672400;55722161400;56298102700;55881869300;7410208969;","Rewritable full-color computer-generated holograms based on color-selective diffractive optical components including phase-change materials",2018,"Nanoscale","10","46",,"21648","21655",,3,"10.1039/c8nr04471f","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85057494161&doi=10.1039%2fc8nr04471f&partnerID=40&md5=e927419e7d61f4c741b52e253fa92078",20403364,,,Article,"Final",,Scopus,2-s2.0-85057494161
"Eyobu O.S., Poulose A., Han D.S.","57190814517;57205504085;7403219442;","An accuracy generalization benchmark for wireless indoor localization based on IMU sensor data",2018,"IEEE International Conference on Consumer Electronics - Berlin, ICCE-Berlin","2018-September",, 8576213,"","",,,"10.1109/ICCE-Berlin.2018.8576213","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060306798&doi=10.1109%2fICCE-Berlin.2018.8576213&partnerID=40&md5=a791180a72785764c0d4fcaffaaaaba0",21666814,9781538660959,,Conference Paper,"Final",,Scopus,2-s2.0-85060306798
"Cho J., Lee M.","57205507149;57191730119;","Estimation of user-indoor spatial information using deep neural networks selective ventilation for living area estimated by deep neural network",2018,"IEEE International Conference on Consumer Electronics - Berlin, ICCE-Berlin","2018-September",, 8576235,"","",,,"10.1109/ICCE-Berlin.2018.8576235","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060290720&doi=10.1109%2fICCE-Berlin.2018.8576235&partnerID=40&md5=08d4b71716b8cc52b19555d6127a7299",21666814,9781538660959,,Conference Paper,"Final",,Scopus,2-s2.0-85060290720
"Lim H.S., Heo N.H., Seff K.","57189697532;17136916900;7004839105;","Disproportionation of an Element in a Zeolite. III. Crystal Structure of a High-Temperature Sulfur Sorption Complex of Zeolite LTA Containing Two New Ions: Perthiosulfite, S 4 2- , and the Trisulfur Cation, S 3 2+",2018,"Journal of Physical Chemistry C","122","49",,"28133","28141",,1,"10.1021/acs.jpcc.8b09223","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058088608&doi=10.1021%2facs.jpcc.8b09223&partnerID=40&md5=aa6c6bf74d3bea776f8ea11727bbf9ef",19327447,,,Article,"Final",,Scopus,2-s2.0-85058088608
"Kwak J., Kim S., Lee S., Cho J., Park D.","57205506637;57193059437;57200005388;7403536198;55463943600;","Energy-Efficient ECG Event Signal Processing Using Primitive-Based QRS Complex Detection",2018,"2018 IEEE 7th Global Conference on Consumer Electronics, GCCE 2018",,, 8574511,"802","803",,,"10.1109/GCCE.2018.8574511","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060276540&doi=10.1109%2fGCCE.2018.8574511&partnerID=40&md5=a3345a217ef6661a34414614eb17bbbb",,9781538663097,,Conference Paper,"Final",,Scopus,2-s2.0-85060276540
"Hong S., Nair P.J., Abali B., Buyuktosunoglu A., Kim K.-H., Healy M.","55597086808;7201717281;6603599922;6603171475;54680917000;14060214500;","Attaché: Towards ideal memory compression by mitigating metadata bandwidth overheads",2018,"Proceedings of the Annual International Symposium on Microarchitecture, MICRO","2018-October",, 8574551,"326","338",,4,"10.1109/MICRO.2018.00034","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060057324&doi=10.1109%2fMICRO.2018.00034&partnerID=40&md5=a0c1f8ce7eee90b8cfd6dbf4a60f7006",10724451,9781538662403,PSMIE,Conference Paper,"Final",,Scopus,2-s2.0-85060057324
"Man Kadayat T., Lee G., Jung K., Hwang H.-J., Joo J., Hahn D., Hwang H., Park K.-G., Cho S.J., Kim K.-H., Chin J.","57201881897;57195681695;57203728292;57189891595;55523795900;36554163400;57112963600;57202558343;56949426900;56493424000;36554007700;","Synthesis of a unique dimethyl thiazoline containing intermediate of novel peroxisome proliferator-activated receptors(PPAR)δ agonists",2018,"Tetrahedron Letters","59","50",,"4384","4386",,,"10.1016/j.tetlet.2018.10.051","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85056275125&doi=10.1016%2fj.tetlet.2018.10.051&partnerID=40&md5=d7baf3ec89250e8f1d23dbabaeec43f0",00404039,,TELEA,Article,"Final",,Scopus,2-s2.0-85056275125
"Kim M.J., Kim C., Sohn S.H.","55632768300;54684058600;7101646506;","Effects of chemical bath deposition conditions on the growth of CdS thin-films",2018,"Molecular Crystals and Liquid Crystals","677","1",,"81","90",,,"10.1080/15421406.2019.1597514","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069756493&doi=10.1080%2f15421406.2019.1597514&partnerID=40&md5=8234f160e0aae53fe8b3ce9c2efba1a2",15421406,,MCLCD,Article,"Final",,Scopus,2-s2.0-85069756493
"Kwon O.-Y., Chien S.-I.","16316350900;7201952405;","Adaptive Skin Color Detection through Iterative Illuminant Color Estimation and Conversion for Preferred Skin Color Reproduction",2018,"Molecular Crystals and Liquid Crystals","677","1",,"105","117",,,"10.1080/15421406.2019.1597517","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069782961&doi=10.1080%2f15421406.2019.1597517&partnerID=40&md5=631ebc62cf2f64693759f5c6ac2299d8",15421406,,MCLCD,Article,"Final",,Scopus,2-s2.0-85069782961
"Kim J.-Y., Park C.-S., Tae H.-S., Lee S.-K., Park S.S., Jeong Y.T., Cho B.-G.","7601376797;16025295400;7006298844;57210173938;57202360665;56594180800;7401747513;","Voltage Margin and Luminous Efficiency by Changing Positive and Negative Sustain Voltage in AC Plasma Display Panel",2018,"Molecular Crystals and Liquid Crystals","677","1",,"143","152",,,"10.1080/15421406.2019.1597521","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069758142&doi=10.1080%2f15421406.2019.1597521&partnerID=40&md5=6ba9fc9235a59c9ad6c94e3915a9987e",15421406,,MCLCD,Article,"Final",,Scopus,2-s2.0-85069758142
"Kim D.H., Park C.-S., Jung E.Y., Shin B.J., Kim J.Y., Bae G.T., Jang H.J., Cho B.-G., Tae H.-S.","57206099400;16025295400;57203199724;7103027782;57203251594;57202369078;57207956623;7401747513;7006298844;","Effects of iodine dopant on atmospheric pressure plasma polymerized pyrrole in remote and coupling methods",2018,"Molecular Crystals and Liquid Crystals","677","1",,"135","142",,,"10.1080/15421406.2019.1597520","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069764754&doi=10.1080%2f15421406.2019.1597520&partnerID=40&md5=c61a7ce2bad4b08604d3747f996e6418",15421406,,MCLCD,Article,"Final",,Scopus,2-s2.0-85069764754
"Balasubramaniam A., Paul A.","57194681130;56650522400;","Comparative Study of Sustainable Transportation Systems: A futuristic approach",2018,"ICSNS 2018 - Proceedings of IEEE International Conference on Soft-Computing and Network Security",,, 8573649,"","",,,"10.1109/ICSNS.2018.8573649","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060255842&doi=10.1109%2fICSNS.2018.8573649&partnerID=40&md5=c975cc1e2f34a538b611fca81a7ba0c2",,9781538645529,,Conference Paper,"Final",,Scopus,2-s2.0-85060255842
"Rathore M.M., Saeed F., Rehman A., Paul A., Daniel A.","56650727000;57201128624;57200894071;56650522400;56313790400;","Intrusion Detection using Decision Tree Model in High-Speed Environment",2018,"ICSNS 2018 - Proceedings of IEEE International Conference on Soft-Computing and Network Security",,, 8573631,"","",,,"10.1109/ICSNS.2018.8573631","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060215371&doi=10.1109%2fICSNS.2018.8573631&partnerID=40&md5=d3b3131ca5bac1f44ac112a17bb82d76",,9781538645529,,Conference Paper,"Final",,Scopus,2-s2.0-85060215371
"Saintonge A., Wilson C.D., Xiao T., Lin L., Hwang H.S., Tosaki T., Bureau M., Cigan P.J., Clark C.J.R., Clements D.L., Looze I.D., Dharmawardena T., Gao Y., Gear W.K., Greenslade J., Lamperti I., Lee J.C., Li C., Michałowski M.J., Mok A., Pan H.-A., Sansom A.E., Sargent M., L. Smith M.W., Williams T., Yang C., Zhu M., Accurso G., Barmby P., Brinks E., Bourne N., Brown T., Chung A., Chung E.J., Cibinel A., Coppin K., Davies J., Davis T.A., Eales S., Fanciullo L., Fang T., Gao Y., Glass D.H.W., Gomez H.L., Greve T., He J., Ho L.C., Huang F., Jeong H., Jiang X., Jiao Q., Kemper F., Kim J.H., Kim M., Kim T., Ko J., Kong X., Lacaille K., Lacey C.G., Lee B., Lee J.H., Lee W.-K., Masters K., Oh S.-H., Papadopoulos P., Park C., Park S.-J., Parsons H., Rowlands K., Scicluna P., Scudder J.M., Sethuram R., Serjeant S., Shao Y., Sheen Y.-K., Shi Y., Shim H., Smith C.M.A., Spekkens K., Tsai A.-L., Verma A., Urquhart S., Violino G., Viti S., Wake D., Wang J., Wouterloot J., Yang Y., Yim K., Yuan F., Zheng Z.","12789870200;7404896077;57204049247;57198907988;15131707100;16176531000;55977290900;18435860300;55454853200;57210396263;55935115800;57203391621;57201037406;7003641648;57190681415;56994007700;35278800900;57208500704;15822545300;55672799600;55349125300;7003968523;22836155200;57204049671;57193175515;55620349500;17347557200;56940764700;14021258700;7006283062;36619471700;56924188700;8100674200;57206389610;55819700200;22937171400;7404980873;57209039062;36604217400;55874635700;56502987200;55547120397;57204049359;8709470300;10339159000;55697819000;35229428100;57207146820;16202920600;56142443100;57194233856;7005283695;57207438571;56898213300;57050549000;18434193800;56064005000;57194605392;7102017450;57195605164;56007005500;56165136400;7005086868;25925356200;7102700355;7408417049;36614524400;35096693300;35408462000;36698353000;36011195200;57199527305;57203031382;57194564966;23568407100;16508014700;14061137700;57193192578;8569260800;27868097900;7401938216;55749698200;56872922400;7003564783;57190586359;35331356300;6505772744;7409384232;36919547600;36018902000;57206699693;","JINGLE, a JCMT legacy survey of dust and gas for galaxy evolution studies - I. Survey overview and first results",2018,"Monthly Notices of the Royal Astronomical Society","481","3",,"3497","3519",,2,"10.1093/mnras/sty2499","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85054258104&doi=10.1093%2fmnras%2fsty2499&partnerID=40&md5=269c664567c2260dfdb8373a399cf28c",00358711,,MNRAA,Article,"Final",,Scopus,2-s2.0-85054258104
"Ha J., Lee J., Ean Y.C., Lee S., Yi H.","57205547800;57205548247;57194193801;35766722100;56567311000;","Optimal design of a quadruped walking robot’s leg",2018,"International Conference on Control, Automation and Systems","2018-October",, 8571686,"1723","1725",,,,"https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060491284&partnerID=40&md5=723911e58063f4d23ec9c31703eb61d2",15987833,9788993215151,,Conference Paper,"Final",,Scopus,2-s2.0-85060491284
"Kim D.H., Lee J., Kim Y.","57198636658;57201031508;47962102500;","Information analysis of local suppression scheme based on a spatial-temporal model",2018,"Journal of Applied Statistics","45","16",,"2929","2942",,1,"10.1080/02664763.2018.1445703","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85042947054&doi=10.1080%2f02664763.2018.1445703&partnerID=40&md5=5644943ea07a4a54e04621b3c7bc6ff2",02664763,,,Article,"Final",,Scopus,2-s2.0-85042947054
"Sung Y., Kim C., Chung C.C.","57205538993;55560884800;55489708200;","Maximum power point tracking control for photovoltaic generation using quasi-continuous sliding mode control",2018,"International Conference on Control, Automation and Systems","2018-October",, 8571621,"1284","1289",,,,"https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060490907&partnerID=40&md5=7af042cb1d3885eff51d80dc2b8d7ca9",15987833,9788993215151,,Conference Paper,"Final",,Scopus,2-s2.0-85060490907
"Kim H., Kim N., Nam K., Nam K.-H.","55643972000;57205540184;57205547896;57205547897;","Maximum contrast imaging using chromatic lighting and fuzzy logic: Analyses of old handwritings",2018,"International Conference on Control, Automation and Systems","2018-October",, 8571472,"756","761",,,,"https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060469655&partnerID=40&md5=bac8a0cd9f781a190cf3d27ebef082ba",15987833,9788993215151,,Conference Paper,"Final",,Scopus,2-s2.0-85060469655
