Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,ISSN,ISBN,CODEN,Document Type,Publication Stage,Access Type,Source,EID
"Mun C.-H., Muralee Gopi C.V.V., Vinodh R., Sambasivam S., Obaidat I.M., Kim H.-J.","57210948685;57194049974;35727964800;57210813773;10440642200;57208210136;","Microflower-like nickel sulfide-lead sulfide hierarchical composites as binder-free electrodes for high-performance supercapacitors",2019,"Journal of Energy Storage","26",, 100925,"","",,,"10.1016/j.est.2019.100925","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071978135&doi=10.1016%2fj.est.2019.100925&partnerID=40&md5=07dffab868fc4e410b9334fe4aa23efd",2352152X,,,Article,"Final",,Scopus,2-s2.0-85071978135
"Joo H.-H., Gopi C.V.V.M., Vinodh R., Kim H.-J., Sambasivam S., Obaidat I.M.","57210862206;56503741800;35727964800;57208210136;57210813773;10440642200;","Facile synthesis of flexible and binder-free dandelion flower-like CuNiO2 nanostructures as advanced electrode material for high-performance supercapacitors",2019,"Journal of Energy Storage","26",, 100914,"","",,,"10.1016/j.est.2019.100914","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071725807&doi=10.1016%2fj.est.2019.100914&partnerID=40&md5=1ea013b22aa46206d72e2daf7a912c38",2352152X,,,Article,"Final",,Scopus,2-s2.0-85071725807
"Zhang T.F., Lee W.-J., Kwon S.-H., Wan Z.","56137717900;56090945200;57210944227;55929942800;","Facile syntheses and electrochemical properties of Ni(OH)2 nanosheets/porous Ni foam for supercapacitor application",2019,"Materials Letters","256",, 126656,"","",,,"10.1016/j.matlet.2019.126656","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071976281&doi=10.1016%2fj.matlet.2019.126656&partnerID=40&md5=bede54c878df3e1c7d98b7d8f23dea5b",0167577X,,MLETD,Article,"Final",,Scopus,2-s2.0-85071976281
"Mensi W., Lee Y.-J., Al-Yahyaee K.H., Sensoy A., Yoon S.-M.","55607222100;35275540600;35764315700;55761876000;7404035607;","Intraday downward/upward multifractality and long memory in Bitcoin and Ethereum markets: An asymmetric multifractal detrended fluctuation analysis",2019,"Finance Research Letters","31",,,"19","25",,3,"10.1016/j.frl.2019.03.029","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85065165891&doi=10.1016%2fj.frl.2019.03.029&partnerID=40&md5=261e0576f9ff746a565554faa9109952",15446123,,,Article,"Final",,Scopus,2-s2.0-85065165891
"Kim C., Kim K.J., Lee J.","56547552200;57211002433;57206732370;","Assessment of black carbon concentration as a potential measure of air quality at multi-purpose facilities",2019,"Journal of Aerosol Science","138",, 105450,"","",,,"10.1016/j.jaerosci.2019.105450","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85072196587&doi=10.1016%2fj.jaerosci.2019.105450&partnerID=40&md5=0ec1bddac0be55c7c10998f4764346a7",00218502,,JALSB,Article,"Final",,Scopus,2-s2.0-85072196587
"Cho A.R., Lee S.Y.","53163555600;57195740850;","Biomarkers and their relative contributions to identifying coronary artery stenosis based on coronary computed tomography angiography in asymptomatic adults",2019,"Clinica Chimica Acta","499",,,"128","133",,,"10.1016/j.cca.2019.09.007","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85072160240&doi=10.1016%2fj.cca.2019.09.007&partnerID=40&md5=f9070fe814a5d0a2d000fb12e2677f5e",00098981,,CCATA,Article,"Final",,Scopus,2-s2.0-85072160240
"Park Z.S., Lee S.-J., Lee T., Kim J.H., Moon Y.H.","57210568835;57200928377;56609479100;35177673300;13005372400;","Fabrication of long tubular parts made of tungsten-heavy alloys by inductive bonding of multiple tubes",2019,"International Journal of Refractory Metals and Hard Materials","85",, 105058,"","",,,"10.1016/j.ijrmhm.2019.105058","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071017543&doi=10.1016%2fj.ijrmhm.2019.105058&partnerID=40&md5=1bb8a54a546c6602ae175eb3e2ee9a5a",02634368,,IJRMD,Article,"Final",,Scopus,2-s2.0-85071017543
"Hwang K.-J., Shin M., Lee Y.W., Lee M.-H., Lee H., Shin T.H.","55363106600;57207434736;57209533629;57144971400;55706794700;55708690300;","Effects of YSZ powder properties on its corrosion behaviour for solid oxide membrane (SOM) electrolysis process",2019,"Journal of the European Ceramic Society","39","15",,"4864","4873",,,"10.1016/j.jeurceramsoc.2019.06.048","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85068051990&doi=10.1016%2fj.jeurceramsoc.2019.06.048&partnerID=40&md5=b466a0fcc7f91b4a5eb6dd69224210af",09552219,,,Article,"Final",,Scopus,2-s2.0-85068051990
"Tiwari A.K., Raheem I.D., Kang S.H.","57204698496;56596616600;55568262600;","Time-varying dynamic conditional correlation between stock and cryptocurrency markets using the copula-ADCC-EGARCH model",2019,"Physica A: Statistical Mechanics and its Applications","535",, 122295,"","",,,"10.1016/j.physa.2019.122295","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85070516482&doi=10.1016%2fj.physa.2019.122295&partnerID=40&md5=04acec270390318d7ecab4a236af9613",03784371,,PHYAD,Article,"Final",,Scopus,2-s2.0-85070516482
"Xu Y., Moon C., Wang J.-J., Penyazkov O.G., Kim K.C.","55649944300;57188754124;57189657305;6508173289;57208665510;","An experimental study on the flow and heat transfer of an impinging synthetic jet",2019,"International Journal of Heat and Mass Transfer","144",, 118626,"","",,,"10.1016/j.ijheatmasstransfer.2019.118626","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071465723&doi=10.1016%2fj.ijheatmasstransfer.2019.118626&partnerID=40&md5=5bab8d83934393970d7b9052f1985848",00179310,,IJHMA,Article,"Final",,Scopus,2-s2.0-85071465723
"Lee H.W., Kim Y.-M., Jae J., Lee S.M., Jung S.-C., Park Y.-K.","56724797300;57148866400;57205844769;40461814100;7403676881;16029749100;","The use of calcined seashell for the prevention of char foaming/agglomeration and the production of high-quality oil during the pyrolysis of lignin",2019,"Renewable Energy",,,,"147","152",,3,"10.1016/j.renene.2018.07.093","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85050658429&doi=10.1016%2fj.renene.2018.07.093&partnerID=40&md5=cb7e19009fe9b762d61a730d48216350",09601481,,,Article,"Final",,Scopus,2-s2.0-85050658429
"Chien M.-T., Nakazato H., Meng J.","7005562323;35747102400;56779387700;","The diameter and width of numerical ranges",2019,"Linear Algebra and Its Applications","582",,,"76","98",,,"10.1016/j.laa.2019.07.036","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85070231493&doi=10.1016%2fj.laa.2019.07.036&partnerID=40&md5=0f74d6a78197213be1885812071d09aa",00243795,,LAAPA,Article,"Final",,Scopus,2-s2.0-85070231493
"Truong-Lam H.S., Cho S.J., Lee J.D.","57211000378;56308186900;8612956000;","Simultaneous in-situ macro and microscopic observation of CH4 hydrate formation/decomposition and solubility behavior using Raman spectroscopy",2019,"Applied Energy","255",, 113834,"","",,,"10.1016/j.apenergy.2019.113834","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85072206595&doi=10.1016%2fj.apenergy.2019.113834&partnerID=40&md5=7d0419f29a1f9bbd689046e9e8838f6f",03062619,,APEND,Article,"Final",,Scopus,2-s2.0-85072206595
"Shafaghat H., Kim J.M., Lee I.-G., Jae J., Jung S.-C., Park Y.-K.","35747033700;34769587400;36628711000;57205844769;7403676881;16029749100;","Catalytic hydrodeoxygenation of crude bio-oil in supercritical methanol using supported nickel catalysts",2019,"Renewable Energy",,,,"159","166",,1,"10.1016/j.renene.2018.06.096","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85049343422&doi=10.1016%2fj.renene.2018.06.096&partnerID=40&md5=e07480677e81a30beda864d5e16c3ea8",09601481,,,Article,"Final",,Scopus,2-s2.0-85049343422
"Park S., Jae J., Farooq A., Kwon E.E., Park E.D., Ha J.-M., Jung S.-C., Park Y.-K.","57200043428;57205844769;57195621185;9240622100;57208705786;7202102895;7403676881;16029749100;","Continuous pyrolysis of organosolv lignin and application of biochar on gasification of high density polyethylene",2019,"Applied Energy","255",, 113801,"","",,,"10.1016/j.apenergy.2019.113801","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071639534&doi=10.1016%2fj.apenergy.2019.113801&partnerID=40&md5=0a598734a1f01d8b5d7a083c99e44bc5",03062619,,APEND,Article,"Final",,Scopus,2-s2.0-85071639534
"Zhang Y., Zheng M., An C., Seo J.K., Pasqualino I.P., Lim F., Duan M.","57203135415;57206195972;37103533500;36890591400;6602398053;7006112648;7006675172;","A review of the integrity management of subsea production systems: inspection and monitoring methods",2019,"Ships and Offshore Structures","14","8",,"789","803",,,"10.1080/17445302.2019.1565071","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059890006&doi=10.1080%2f17445302.2019.1565071&partnerID=40&md5=07b00fd81c78286804cf5115792aab97",17445302,,,Review,"Final",,Scopus,2-s2.0-85059890006
"Ha E.-S., Kim J.-S., Lee S.-K., Sim W.-Y., Jeong J.-S., Kim M.-S.","56084682300;49963762200;57209135295;57194082368;57209139107;57207922614;","Equilibrium solubility and solute-solvent interactions of carvedilol (Form I) in twelve mono solvents and its application for supercritical antisolvent precipitation",2019,"Journal of Molecular Liquids","294",, 111622,"","",,,"10.1016/j.molliq.2019.111622","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071505317&doi=10.1016%2fj.molliq.2019.111622&partnerID=40&md5=0078637d6b51720c04e9972958647b1a",01677322,,JMLID,Article,"Final",,Scopus,2-s2.0-85071505317
"Lee H., Reddy D.A., Kumar D.P., Lim M., Kim T.K.","57204657624;55339567400;56819609800;7201473172;18133964900;","Ultra-small cobalt nanocrystals embedded in 2D-MoS2 nano-sheets as efficient co-catalyst for solar-driven hydrogen production: Study of evolution rate dependence on cobalt nanocrystal size",2019,"Applied Surface Science","494",,,"239","248",,,"10.1016/j.apsusc.2019.07.173","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069732587&doi=10.1016%2fj.apsusc.2019.07.173&partnerID=40&md5=aab18c9edbd5d3be1f2514605fec15ae",01694332,,ASUSE,Article,"Final",,Scopus,2-s2.0-85069732587
"Lv P., Zhao C., Lee W.J., Huo S., Kwon S.-H., Fang J., Yang Y.","57057102000;57210162821;56090945200;57210145082;26433618200;57199463828;57193219349;","Less is more: Enhancement of photocatalytic activity of g-C3N4 nanosheets by site-selective atomic layer deposition of TiO2",2019,"Applied Surface Science","494",,,"508","518",,,"10.1016/j.apsusc.2019.07.131","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069741803&doi=10.1016%2fj.apsusc.2019.07.131&partnerID=40&md5=c48511a9efd7d9bc69e69a7adc9502cb",01694332,,ASUSE,Article,"Final",,Scopus,2-s2.0-85069741803
"Van Nguyen C., Lee S., Chung Y.G., Chiang W.-H., Wu K.C.-W.","57192651823;57209471700;56508753200;10046097500;36919720400;","Synergistic effect of metal-organic framework-derived boron and nitrogen heteroatom-doped three-dimensional porous carbons for precious-metal-free catalytic reduction of nitroarenes",2019,"Applied Catalysis B: Environmental","257",, 117888,"","",,,"10.1016/j.apcatb.2019.117888","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85067877692&doi=10.1016%2fj.apcatb.2019.117888&partnerID=40&md5=e6e19654cb27a6e42205e6a5cae27011",09263373,,ACBEE,Article,"Final",,Scopus,2-s2.0-85067877692
"Sridhar V., Park H.","57201644993;7601565187;","Manganese nitride stabilized on reduced graphene oxide substrate for high performance sodium ion batteries, super-capacitors and EMI shielding",2019,"Journal of Alloys and Compounds","808",, 151748,"","",,,"10.1016/j.jallcom.2019.151748","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85070395353&doi=10.1016%2fj.jallcom.2019.151748&partnerID=40&md5=95832afda01bf59549564e24ce209a8a",09258388,,JALCE,Article,"Final",,Scopus,2-s2.0-85070395353
"Le A.D.D., Hwang J., Yusuf M., Park K.H., Park S., Kim J.","57201537869;57189311293;57192919054;57210185631;57210312090;57193279300;","Simultaneous Measurement of Humidity and Temperature with Cytop-reduced Graphene Oxide-overlaid Two-mode Optical Fiber Sensor",2019,"Sensors and Actuators, B: Chemical","298",, 126841,"","",,,"10.1016/j.snb.2019.126841","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85070260673&doi=10.1016%2fj.snb.2019.126841&partnerID=40&md5=9e1898bb9cb6f8e540390921d68e345c",09254005,,SABCE,Article,"Final",,Scopus,2-s2.0-85070260673
"Hira S.A., Nallal M., Park K.H.","57207823414;57209244278;57210185631;","Fabrication of PdAg nanoparticle infused metal-organic framework for electrochemical and solution-chemical reduction and detection of toxic 4-nitrophenol",2019,"Sensors and Actuators, B: Chemical","298",, 126861,"","",,,"10.1016/j.snb.2019.126861","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069846541&doi=10.1016%2fj.snb.2019.126861&partnerID=40&md5=faece3b75cde8c2d4d9898643cecfc61",09254005,,SABCE,Article,"Final",,Scopus,2-s2.0-85069846541
"Shin W.C., Moon N.H., Jang J.H., Seo H.U., Suh K.T.","56562443800;24071379500;37109890600;57210424160;7202645041;","A retrospective bicenter comparative study of surgical outcomes of atypical femoral fracture: Potential effect of teriparatide on fracture healing and callus formation",2019,"Bone","128",, 115033,"","",,,"10.1016/j.bone.2019.08.006","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85070680254&doi=10.1016%2fj.bone.2019.08.006&partnerID=40&md5=49c74bfe2076695cead17ea3d14af648",87563282,,BONED,Article,"Final",,Scopus,2-s2.0-85070680254
"Fu J., Li L., Yun J.M., Lee D., Ryu B.K., Kim K.H.","57045127600;57208267726;56946133600;57194601076;8675558300;57209104107;","Two-dimensional titanium carbide (MXene)-wrapped sisal-Like NiCo2S4 as positive electrode for High-performance hybrid pouch-type asymmetric supercapacitor",2019,"Chemical Engineering Journal","375",, 121939,"","",,,"10.1016/j.cej.2019.121939","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85067189269&doi=10.1016%2fj.cej.2019.121939&partnerID=40&md5=1868ee741b2dbebce5168f2f11d75b50",13858947,,CMEJA,Article,"Final",,Scopus,2-s2.0-85067189269
"Kim T., Ahn H., Song H., Kim K., Choi J.-R.","57193737865;57189033803;56459263600;35290573900;24773058200;","Comparative study of nanolithography based on extraordinary and diffracted optical transmissions",2019,"Optics and Laser Technology","119",, 105658,"","",,,"10.1016/j.optlastec.2019.105658","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85068193477&doi=10.1016%2fj.optlastec.2019.105658&partnerID=40&md5=d80f5e2c363c9a057918e94f68123a60",00303992,,OLTCA,Article,"Final",,Scopus,2-s2.0-85068193477
"Kamp K.J., Weaver K.R., Sherwin L.B., Barney P., Hwang S.-K., Yang P.-L., Burr R.L., Cain K.C., Heitkemper M.M.","57191920613;57192896041;56149757700;54884091900;57210894179;57210896834;7005552308;7103341073;7005514887;","Effects of a comprehensive self-management intervention on extraintestinal symptoms among patients with IBS",2019,"Journal of Psychosomatic Research","126",, 109821,"","",,,"10.1016/j.jpsychores.2019.109821","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071760939&doi=10.1016%2fj.jpsychores.2019.109821&partnerID=40&md5=c0d9c538334579a8ffb79a79f3b636a6",00223999,,JPCRA,Article,"Final",,Scopus,2-s2.0-85071760939
"Park H.-Y., Oh S.-H.","57203771906;55860028200;","Design range of the damper of a T-stub damage-controlled system",2019,"Journal of Constructional Steel Research","162",, 105719,"","",,,"10.1016/j.jcsr.2019.105719","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85070209877&doi=10.1016%2fj.jcsr.2019.105719&partnerID=40&md5=206241a9f0c64f58518d7f3748e1c56f",0143974X,,,Article,"Final",,Scopus,2-s2.0-85070209877
"Anugrah D.S.B., Ramesh K., Kim M., Hyun K., Lim K.T.","57202875287;56537855400;57189258681;24767294900;56595999700;","Near-infrared light-responsive alginate hydrogels based on diselenide-containing cross-linkage for on demand degradation and drug release",2019,"Carbohydrate Polymers","223",, 115070,"","",,,"10.1016/j.carbpol.2019.115070","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85068924752&doi=10.1016%2fj.carbpol.2019.115070&partnerID=40&md5=8c14d6e4b8987e90ae2155995b66d768",01448617,,CAPOD,Article,"Final",,Scopus,2-s2.0-85068924752
"Shin J., Choi S.-H., Liu P., Choi Y.-H.","57203464861;57189217848;36727836300;56532761600;","Unsupervised multi-stage attack detection framework without details on single-stage attacks",2019,"Future Generation Computer Systems","100",,,"811","825",,,"10.1016/j.future.2019.05.032","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85066442931&doi=10.1016%2fj.future.2019.05.032&partnerID=40&md5=acbf6ef4a000dadfa4daf6c2a1a8e848",0167739X,,FGCSE,Article,"Final",,Scopus,2-s2.0-85066442931
"Jeong E., Park J., Lee H.C., Zhang P., Yu J., Lemaire M., Choi S., Lee D.","57193742189;56718797400;57188812429;56949408900;55844220700;57205734590;56206414800;57190393526;","Verification of DeCART2D/CAPP code system for VHTR analysis with PMR-200 benchmark",2019,"Annals of Nuclear Energy","133",,,"154","168",,,"10.1016/j.anucene.2019.05.002","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85065743087&doi=10.1016%2fj.anucene.2019.05.002&partnerID=40&md5=76c52e6b15b8b144d07e9dd2643aefff",03064549,,ANEND,Article,"Final",,Scopus,2-s2.0-85065743087
"Park H., Lee J., Lee Y., Kim J.H., Kim D.","56192832200;56818109100;27168701900;57169638000;57195232156;","Electromagnetic expansion joining between tubular and flat sheet component",2019,"Journal of Materials Processing Technology","273",, 116246,"","",,,"10.1016/j.jmatprotec.2019.05.027","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85066482823&doi=10.1016%2fj.jmatprotec.2019.05.027&partnerID=40&md5=9c71b3423b0ce5d195a4740e18bef757",09240136,,JMPTE,Article,"Final",,Scopus,2-s2.0-85066482823
"Augustine R., Lee H.R., Kim H., Zhang Y., Kim I.","55669973000;56625339300;57210469729;57194712996;55004620600;","Hyperbranched lipopolymer-folate-stabilized manganese ferrite nanoparticles for the water-soluble targeted MRI contrast agent",2019,"Reactive and Functional Polymers","144",, 104352,"","",,,"10.1016/j.reactfunctpolym.2019.104352","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071912487&doi=10.1016%2fj.reactfunctpolym.2019.104352&partnerID=40&md5=7b33eea648a35a6aaa18fc262fdfe804",13815148,,RFPOF,Article,"Final",,Scopus,2-s2.0-85071912487
"Kim J.H., Kim M.K., Choi I.-K.","37461572200;55686383800;36118722100;","Experimental study on seismic behavior of lead-rubber bearing considering bi-directional horizontal input motions",2019,"Engineering Structures","198",, 109529,"","",,,"10.1016/j.engstruct.2019.109529","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071232930&doi=10.1016%2fj.engstruct.2019.109529&partnerID=40&md5=d05100437a7516129e5d58b7ca209bf3",01410296,,ENSTD,Article,"Final",,Scopus,2-s2.0-85071232930
"Pham T.N., Park D., Lee Y., Kim I.T., Hur J., Oh Y.-K., Lee Y.-C.","57204452408;24332315900;56528587200;57198443251;36240634900;7402125990;56092689100;","Combination-based nanomaterial designs in single and double dimensions for improved electrodes in lithium ion-batteries and faradaic supercapacitors",2019,"Journal of Energy Chemistry","38",,,"119","146",,,"10.1016/j.jechem.2018.12.014","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85061094582&doi=10.1016%2fj.jechem.2018.12.014&partnerID=40&md5=52e2b830ad35ffb5266e703bc4ba8484",20954956,,,Review,"Final",,Scopus,2-s2.0-85061094582
"Lim S., Yun H.-K., Kang K.M., Lee B.L., Won R., Lee I.H.","57210917671;7201486933;55909359300;57210915001;6603207934;57207084857;","Interactions between Mycoplasma pulmonis and immune systems in the mealworm beetle, Tenebrio molitor",2019,"Insect Biochemistry and Molecular Biology","114",, 103231,"","",,,"10.1016/j.ibmb.2019.103231","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071869714&doi=10.1016%2fj.ibmb.2019.103231&partnerID=40&md5=193c37f75c90ef49993628b822fa6699",09651748,,IBMBE,Article,"Final",,Scopus,2-s2.0-85071869714
"Yim H.J., Park S.-J., Jun Y.","57197297923;56193735500;55879993100;","Physicochemical and mechanical changes of thermally damaged cement pastes and concrete for re-curing conditions",2019,"Cement and Concrete Research","125",, 105831,"","",,,"10.1016/j.cemconres.2019.105831","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071105622&doi=10.1016%2fj.cemconres.2019.105831&partnerID=40&md5=9dda577fdc95e0383aa040be6b5237bf",00088846,,CCNRA,Article,"Final",,Scopus,2-s2.0-85071105622
"Ei P.W., Lee J.S., Aung W.W., Yeun K., Korma W., Nyunt W.W., Swe T.L., Htwe M.M., Win S.M., Aung S.T., Chang C.L., Lee H.","55922500300;57204175622;57210993532;57211002528;56939051900;56948814200;56868464800;56868624500;57200072301;57189635662;7407038637;56493590300;","Genotypes and genetic characters of Mycobacterium tuberculosis from Myanmar using three typing methods",2019,"Infection, Genetics and Evolution","75",, 104005,"","",,,"10.1016/j.meegid.2019.104005","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85072174437&doi=10.1016%2fj.meegid.2019.104005&partnerID=40&md5=bdee3989100267f89f30b50bc9d88abd",15671348,,IGENC,Article,"Final",,Scopus,2-s2.0-85072174437
